epoch,accuracy,loss,val_accuracy,val_loss
0,0.5827343463897705,0.6914768815040588,0.6700000166893005,0.6539774537086487
1,0.7518749833106995,0.5929242372512817,0.7837499976158142,0.537320613861084
2,0.8745312690734863,0.41997069120407104,0.879687488079071,0.38148730993270874
3,0.9477343559265137,0.2511993944644928,0.9228125214576721,0.27450335025787354
4,0.97265625,0.15838797390460968,0.9312499761581421,0.22805137932300568
5,0.9830468893051147,0.11622690409421921,0.9371874928474426,0.21038809418678284
6,0.9893749952316284,0.09426108002662659,0.9428125023841858,0.19808442890644073
7,0.9921093583106995,0.08088649064302444,0.9431250095367432,0.1944175362586975
8,0.9940624833106995,0.07206100225448608,0.9443749785423279,0.19248129427433014
9,0.9957031011581421,0.06477637588977814,0.9428125023841858,0.19140353798866272
